no,candidate,constituency,party,cases,education,total_assets,liabilities
236,Anand,SHIVPUR,SP,0,Post Graduate,34445952,28323274
237,Anand Awasthi,AKBARPUR-RANIYA,Bhartiya Shakti Chetna Party,0,Graduate,2140000,460000
238,Anand Bihari Rai,ZAHOORABAD,IND,0,12th Pass,663100,23640
239,Anand Kumar,MADHUBAN,Rashtravyapi Janta Party,0,12th Pass,2323000,913423
240,Anand Kumar,SANDI (SC),IND,0,Graduate,10842000,2500000
241,Anand Prakash,RAMPUR KARKHANA,CPI,0,Post Graduate,1347572,0
242,Anand Prakash Shahi,RAMPUR KARKHANA,Sarv Sambhaav Party,0,Graduate,251436,0
243,Anand Sen,BIKAPUR,SP,2,12th Pass,44753183,931795
244,Anand Swaroop Urf Babbu Mishra,ITWA,RLD,0,Graduate,3198181,0
245,Anandasvarup,CAIMPIYARGANJ,BSP,5,10th Pass,1132327,137240
246,Anandi,BILARI,IND,0,12th Pass,1224500,0
247,Ananta Prasad,ATRAULIYA,Bahujan Mukti Party,0,Post Graduate,747000,0
248,Anees Khan,BHOJIPURA,IND,0,Graduate,515000,0
249,Aneesurrehman,KANTH,SP,0,Graduate Professional,15082505,800000
250,Aneeta,ALAPUR (SC),BJP,0,Post Graduate,1037549,26000
251,Anesh Pal,SHEKHUPUR,Peace Party,0,10th Pass,740000,0
252,Angad,GHAZIPUR,Mahakranti Dal,0,Post Graduate,947000,0
253,Angad Kumar,KADIPUR (SC),INC,0,Doctorate,7535005,1700000
254,Anil,DADRI,IND,0,8th Pass,4302000,0
255,Anil,BUDHANA,IND,0,Graduate Professional,4737191,80000
256,Anil,MAURANIPUR (SC),SHS,0,Literate,123000,0
257,Anil,BAIRIA,IND,0,12th Pass,1764000,0
258,Anil,NAUTANWA,Nirbal Indian Shoshit Hamara Aam Dal,0,Graduate,2984217,0
259,Anil,PIPRAICH,NCP,0,Not Given,201599,0
260,Anil,BADLAPUR,Hum Sabki Party,0,10th Pass,2540000,0
261,Anil,HATA,RLD,0,12th Pass,761500,0
262,Anil,SHIVPUR,BJP,2,Post Graduate,3595693,0
263,Anil Alias Anil Paswan,CHAKIA (SC),CPI(ML)(L),0,Graduate,18870,0
264,Anil Kumar,TANDA,SHS,0,Graduate,145000,0
265,Anil Kumar,MACHHLISHAHR (SC),Rashtriya Samaj Paksha,0,Graduate,485000,2000
266,Anil Kumar,KAIRANA,RLD,0,12th Pass,106949363,600000
267,Anil Kumar,BIKAPUR,Adarshwaadi Congress Party,0,Post Graduate,571052,20000
268,Anil Kumar,PURQAZI (SC),Bahujan Mukti Party,0,Graduate Professional,5689600,440000
269,Anil Kumar,BARABANKI,Eklavya Samaj Party,0,Others,6933950,0
270,Anil Kumar,VISHWANATH GANJ,IND,1,Post Graduate,7520926,0
271,Anil Kumar,SADABAD,IND,0,Graduate,18845289,500000
272,Anil Kumar,BILARI,RLD,0,12th Pass,23089000,1700000
273,Anil Kumar,HARCHANDPUR,Bahujan Mukti Party,0,12th Pass,41350,0
274,Anil Kumar,MEJA,IND,0,Graduate,799984,0
275,Anil Kumar,PURQAZI (SC),BSP,0,12th Pass,6392142,0
276,Anil Kumar,SAWAYAZPUR,Bahujan Mukti Party,0,Graduate Professional,1228000,0
277,Anil Kumar,ETAWAH,IND,0,Post Graduate,7606012,278639
278,Anil Kumar,KHAGA (SC),Bahujan Mukti Party,0,12th Pass,241000,0
279,Anil Kumar,KASGANJ,IND,0,Graduate,125000,0
280,Anil Kumar,SHIKARPUR,BJP,1,12th Pass,142934330,10928803
281,Anil Kumar,SAHASWAN,RLD,0,12th Pass,980000,0
282,Anil Kumar Ahirwar,RATH (SC),BSP,1,Post Graduate,42759021,1100000
283,Anil Kumar Dohare,KANNAUJ (SC),SP,0,Graduate Professional,20247603,5800000
284,Anil Kumar Maurya,GHORAWAL,BJP,0,Doctorate,73647495,25291190
285,Anil Kumar Shukla,PHULPUR,Ambedkar Yug Party,0,10th Pass,2502500,841
286,Anil Kumar Singh,PURWA,BSP,0,12th Pass,103774844,26900000
287,Anil Kumar Singh,SHAHJAHANPUR,Lok Dal,0,10th Pass,14827000,137000
288,Anil Kumar Singh,DUDDHI (ST),INC,0,12th Pass,800000,0
289,Anil Kumar Singh,GORAKHPUR URBAN,IND,0,Post Graduate,24152413,0
290,Anil Kumar Tripathi,MENHDAWAL,BSP,15,Others,76838606,0
291,Anil Kumar Verma,LAHARPUR,INC,1,Graduate,14882633,400000
292,Anil Parashar,KOIL,BJP,1,Graduate Professional,49460030,12612097
293,Anil Pratap Singh,KHAIR (SC),Bharatiya Subhash Sena,0,12th Pass,895000,0
294,Anil Singh,SHOHRATGARH,INC,0,12th Pass,49960000,0
295,Anil Srivastav,VARANASI CANTT.,INC,6,Post Graduate,50973488,4650690
296,Anil Yadav,RANIGANJ,Sarv Sambhaav Party,0,Graduate Professional,475000,0
297,Anirudh Dayal Chaudhary,DARIYABAD,RPI(A),0,12th Pass,7616041,900000
298,Anirudhchandramohan,GOPALPUR,Asankhya Samaj Party,0,8th Pass,106096,0
299,Anis Ahmad Khan,BISALPUR,INC,0,Graduate,32727482,1125000
300,Anish,BARAUT,Ittehad-E-Millait Council,3,10th Pass,130000,0
301,Anish Kumar Singh,TILHAR,Bhartiya Imaandar Party,0,Graduate,20155000,1055000
302,Anita,MACHHLISHAHR (SC),BJP,0,10th Pass,23182401,0
303,Anita Devi,JASWANTNAGAR,IND,0,10th Pass,2282100,312000
304,Anita Devi,MAHARAJPUR,IND,0,Post Graduate,2546000,0
305,Anita Jaiswal,PIPRAICH,IND,0,Graduate,241572204,29501036
306,Anita Singh,KURSI,IND,0,Post Graduate,42114583,0
307,Anita Singh Rajput,DEBAI,BJP,0,Doctorate,8286500,0
308,Anita Srivastava,RAE BARELI,BJP,0,Graduate Professional,10989569,898676
309,Anjali Bhargav,AGRA SOUTH,Mahila Sashaktikaran Party,0,8th Pass,403300,0
310,Anjana,BADLAPUR,Rashtriya Shahri Vikas Party,0,10th Pass,65000,0
311,Anjani,KALPI,Swatantra Jantaraj Party,0,8th Pass,6599000,0
312,Anju Bala,RAMPUR MANIHARAN(SC),Bhartiya Tarak Samaj Party,0,Post Graduate,1202996,112246
