no,candidate,constituency,party,cases,education,total_assets,liabilities
1557,Jitendra Kumar,MALIHABAD (SC),IND,0,Graduate,25038223,0
1558,Jitendra Kumar,CHARKHARI,BSP,0,Post Graduate,12280411,6578349
1559,Jitendra Kumar,CHAKIA (SC),BSP,0,Graduate Professional,35273972,5950000
1560,Jitendra Kumar,DIDARGANJ,Bahujan Mukti Party,0,10th Pass,237000,0
1561,Jitendra Kumar Sharma,THAKURDWARA,Bharatiya Subhash Sena,0,10th Pass,76000,0
1562,Jitendra Kumar Verma,KAPTANGANJ,IND,0,Graduate,150000,0
1563,Jitendra Pal Singh,SIWALKHAS,BJP,0,Post Graduate,7873475,586376
1564,Jitendra Saini,SHIKARPUR,Jan Adhikar Party,1,Post Graduate,10598000,1530000
1565,Jitendra Singh,BIKAPUR,BSP,11,12th Pass,34734553,4400000
1566,Jitendra Singh,NEHTAUR (SC),IND,0,Literate,392129,0
1567,Jitendra Singh,GHORAWAL,Bharatiya Subhash Sena,0,8th Pass,54000,0
1568,Jitendra Singh Bhadauriya,JHANSI NAGAR,IND,0,Graduate,18972156,0
1569,Jitendra Singh Yadav,DATAGANJ,RLD,0,Post Graduate,1876780,0
1570,Jitendra Verma,MEERUT,IND,0,5th Pass,121873,0
1571,Jitendra Verma,FATEHABAD,BJP,0,10th Pass,26204304,2627000
1572,Jiyalal,KUNDA,Bahujan Mukti Party,0,10th Pass,2202900,0
1573,Jiyaurrahman,SAMBHAL,All India Majlis-E-Ittehadul Muslimeen,0,Graduate Professional,4450379,0
1574,Jokhoo Prasad,DHANGHATA (SC),Bahujan Mukti Party,0,Post Graduate,2672417,721607
1575,Joy Deniyal Vani,OBRA (ST),IND,0,12th Pass,810000,0
1576,Jubair Ahmad,BAHARAICH,IND,0,Literate,117681,0
1577,Jugendra Singh Yadav,ETAH,SP,7,Graduate,187633498,3222665
1578,Julfikar Ahamad Quraishi,AGRA SOUTH,BSP,2,Graduate,72842986,0
1579,Juned Khan,BHOGNIPUR,Peace Party,2,Graduate Professional,664645,0
1580,Juver Ahmad,BIKAPUR,All India Majlis-E-Ittehadul Muslimeen,0,10th Pass,1015555,0
1581,Jyotasna,CHANDAUSI (SC),Mahan Dal,0,12th Pass,298262,0
1582,Jyoti Singh,LALITPUR,SP,2,Post Graduate,4259014,0
1583,Jyotsana Singh,GHAZIPUR,Nirbal Indian Shoshit Hamara Aam Dal,2,Graduate Professional,5410000,0
1584,K K Sharma,GHAZIABAD,INC,0,Post Graduate,109071370,470000
1585,Kafeel Ahmad Khan,LUCKNOW NORTH,Rashtriya Shahri Vikas Party,0,12th Pass,74000,0
1586,Kailash,ORAI (SC),RASHTRIYA VIKLANG PARTY,0,10th Pass,1000,0
1587,Kailash,AJAGARA (SC),Suheldev Bhartiya Samaj Party,0,12th Pass,84692864,2690000
1588,Kailash Bahadur Singh,LUCKNOW EAST,IND,0,Graduate Professional,8052646,1727888
1589,Kailash Lodhi,MARHARA,Jan Adhikar Manch,3,Graduate,1007155,0
1590,Kailash Nath,TULSIPUR,BJP,0,Graduate Professional,10107707,0
1591,Kailash Nath,ROBERTSGANJ,Gondvana Gantantra Party,0,8th Pass,1943500,0
1592,Kailash Nath,MARIHAN,IND,0,12th Pass,345000,0
1593,Kailash Nath,GHORAWAL,IND,0,10th Pass,10285000,0
1594,Kailash Nath Chaurasiya,MIRZAPUR,SP,5,8th Pass,29358660,0
1595,Kailash Nath Sharma,HARRAIYA,Rashtravadi Pratap Sena,0,12th Pass,1286000,0
1596,Kailash Singh,SADABAD,IND,0,12th Pass,4521550,0
1597,Kailash Singh Rajput,TIRWA,BJP,1,Graduate Professional,17522002,0
1598,Kailash Yadav,AMETHI,IND,0,Graduate Professional,1600000,0
1599,Kaisar Abbass,SAMBHAL,RLD,0,Graduate,570000,0
1600,Kali Charan Beldar,KHAJANI (SC),IND,0,8th Pass,2509630,0
1601,Kali Prasad,ROBERTSGANJ,CPI,0,10th Pass,301000,0
1602,Kalicharan,ZAHOORABAD,BSP,0,10th Pass,5460217,1000000
1603,Kalicharan,BABINA,Jan Adhikar Manch,0,12th Pass,5645271,0
1604,Kalicharan Prasad Urf Kali Prasad,SALEMPUR(SC),BJP,0,Graduate,2670016,200000
1605,Kalicharan Suman,AGRA RURAL (SC),BSP,0,Post Graduate,17850449,229263
1606,Kalim,SHRAWASTI,All India Majlis-E-Ittehadul Muslimeen,0,Others,307000,0
1607,Kallu,MALIHABAD (SC),Bahujan Mukti Party,2,Illiterate,5765038,0
1608,Kalpnath,MEHNAGAR (SC),SP,0,12th Pass,7373812,0
1609,Kalyan,BEHAT,IND,0,Graduate,1684158,0
1610,Kamal Ahamad,SEVATA,Sabka Dal United,0,10th Pass,668000,0
1611,Kamal Akhtar,HASANPUR,SP,0,Graduate Professional,26680375,0
1612,Kamal Garg,NAKUR,IND,0,Graduate,9556714,700000
1613,Kamal Kishor,KHAJANI (SC),INC,1,Graduate,8095918,0
1614,Kamal Kishor Balmeeki,BAREILLY CANTT.,IND,0,Graduate,10354000,2593000
1615,Kamal Kishore Arvind,PURANPUR (SC),BSP,0,Others,17501139,2000000
1616,Kamal Rani,GHATAMPUR (SC),BJP,0,Post Graduate,10305281,0
1617,Kamal Sharma,JEWAR,RLD,0,12th Pass,101421228,21210304
1618,Kamal Singh,GARHMUKTESHWAR,BJP,0,Post Graduate,112899369,1379139
1619,Kamala Prasad,ALLAHABAD SOUTH,Ambedkar Yug Party,0,Graduate Professional,290000,600000
1620,Kamala Prasad Rawat,HAIDERGARH (SC),BSP,2,Graduate,97136963,5682590
1621,Kamaruddin,RAMPUR KHAS,CPI,1,10th Pass,13515000,0
1622,Kamini Jaiswal,NAUTANWA,All India Majlis-E-Ittehadul Muslimeen,0,Post Graduate,3060000,700000
1623,Kamla,GOPALPUR,BSP,1,Post Graduate,9425576,0
1624,Kamla,BHADOHI,Shoshit Sandesh Party,0,8th Pass,320500,0
1625,Kamla Devi,AURAIYA (SC),Bahujan Mukti Party,0,5th Pass,3275000,0
1626,Kamla Shankar,MUNGRA BADSHAHPUR,Nirbal Indian Shoshit Hamara Aam Dal,1,Post Graduate,1510000,0
1627,Kamlavati Devi,BALHA (SC),RPI(A),0,Literate,1326000,0
1628,Kamlesh,BANSI,Ojaswi Party,0,Graduate,643500,0
1629,Kamlesh,AMETHI,IND,0,5th Pass,1586000,0
1630,Kamlesh,LAMBHUA,IND,0,12th Pass,1914768,820000
1631,Kamlesh Chandra Diwakar,BILHAUR (SC),BSP,1,Post Graduate,64429572,6373545
1632,Kamlesh Kumar,HARDOI,IND,0,10th Pass,1015000,0
1633,Kamlesh Kumar,SAROJINI NAGAR,Rashtriya Shoshit Samaj Party,1,10th Pass,15644000,0
1634,Kamlesh Kumar,PHAPHAMAU,IND,0,10th Pass,178000,0
1635,Kamlesh Kumar,SIDHAULI (SC),Rashtriya Janadhar Party,0,12th Pass,138000,0
1636,Kamlesh Kumar,LALITPUR,IND,0,8th Pass,712892,168000
1637,Kamlesh Kumar,SARENI,Bahujan Mukti Party,0,Post Graduate,9148000,1300000
1638,Kamlesh Kumar Katheria,BHARTHANA (SC),SP,0,Graduate,5494471,0
1639,Kamlesh Kumari,KISHNI (SC),BSP,0,Graduate,74072306,599790
1640,Kamlesh Mishra,ALIGANJ,IND,0,12th Pass,171000,0
1641,Kamlesh Sahani,PIPRAICH,IND,0,Graduate,2576500,0
1642,Kamlesh Saini,CHANDPUR,BJP,0,Post Graduate,8126396,435000
1643,Kamlesh Shukla,RAMPUR KARKHANA,BJP,0,8th Pass,206709607,1328675
1644,Kamlgaya Prasadesh Kumari,FATEHPUR,Bhartiya Shakti Chetna Party,0,10th Pass,2289000,0
1645,Kampi,DHAMPUR,Bharatiya Momin Front,0,Graduate,213000,0
1646,Kamran Ali,BEHAT,Bharti Samudaya Party,0,10th Pass,682859,0
1647,Kamta Prasad,SHEKHUPUR,Mahan Dal,0,12th Pass,111000,0
1648,Kamta Prasad,RAMPUR KHAS,IND,1,12th Pass,833000,0
1649,Kamta Prasad,SAIDPUR (SC),Bahujan Mukti Party,0,Post Graduate,11892000,0
1650,Kamta Prasad Trivedi,BANDA,IND,0,12th Pass,1518000,0
1651,Kanchan Devi,KARACHHANA,Bharatiya Kisan Sena Loktantrik,0,12th Pass,168000,0
1652,Kanchan Verma,HARCHANDPUR,BJP,0,Post Graduate,17701500,0
1653,Kandhai,POWAYAN (SC),IND,0,Literate,1050000,0
1654,Kanhai,PIPRAICH,IND,0,8th Pass,261000,0
1655,Kanhaiya,MADHUBAN,Lok Dal,1,12th Pass,954000,1002726
1656,Kanhaiya,ZAHOORABAD,Nirbal Indian Shoshit Hamara Aam Dal,0,10th Pass,3375000,0
1657,Kanhaiya,MAU,Ambedkar Samaj Party,0,Literate,65000,0
1658,Kanhaiya,ATRAULIYA,BJP,0,Literate,27679700,1500247
1659,Kanhaiya,PADRAUNA,RLD,0,12th Pass,465000,0
1660,Kanhaiya,MEHRONI (SC),IND,0,Literate,171500,0
1661,Kanhaiya Lal,GONDA,IND,0,10th Pass,51000,0
1662,Kanhaiya Lal,MAJHAWAN,IND,0,Post Graduate,138150,0
1663,Kanhaiya Sharma,PADRAUNA,IND,0,Post Graduate,432000,0
1664,Kansraj,GAURIGANJ,IND,1,8th Pass,670500,0
1665,Kanthram,RUDHAULI,Bhartiya Sarvjan Party,0,8th Pass,657100,0
1666,Kanti,AURAIYA (SC),Nirbal Indian Shoshit Hamara Aam Dal,0,10th Pass,95000,0
1667,Kantlal,PATTI,Awami Samta Party,0,12th Pass,1107500,0
1668,Kapil Chandra,DHANAURA (SC),RLD,0,12th Pass,22578864,0
1669,Kapil Dev,MILAK (SC),RPI(A),4,Others,34908897,0
1670,Kapil Dev Agarwal,MUZAFFAR NAGAR,BJP,0,Graduate,14597109,4365284
1671,Kapil Kumar Katiyar Advocate,DHAURAHRA,SHS,0,Graduate Professional,730067,0
1672,Kapil Muni Yadav,DARIYABAD,Lok Dal,1,10th Pass,750000,200000
1673,Kapilmuni,BHADOHI,IND,0,Literate,4252796,0
1674,Karam Singh,BEHAT,IND,0,12th Pass,7390200,450000
1675,Karan Rawat,MILKIPUR (SC),IND,0,8th Pass,189000,0
1676,Karan Singh,BITHOOR,RLD,0,Graduate,8831000,210000
1677,Karan Singh,PRATAPPUR,Apna Dal (Soneylal),0,Graduate,8903044,0
1678,Karan Singh,BAH,IND,0,Literate,1918260,149000
1679,Karan Singh,TIRWA,Bharatiya Subhash Sena,0,8th Pass,1147000,0
1680,Karan Singh Patel,BINDKI,BJP,0,Post Graduate,39270562,0
1681,Karan Singh Saini,MUZAFFAR NAGAR,Jansatta Party,0,Post Graduate,34500,0
1682,Karinda Singh,GOVERDHAN,BJP,1,Graduate,117761931,3346111
1683,Karmveer Azad,MEHNAGAR (SC),Uttar Pradesh Republican Party,0,12th Pass,353500,0
1684,Kartar Singh Bhadana,BAGHPAT,RLD,2,8th Pass,387861634,2555000
1685,Kartar Singh Yadav,ZAMANIA,IND,5,10th Pass,8336354,16871020
1686,Kashif,KANTH,IND,0,Literate,26270,0
1687,Kaushal Kishore Upadhyay,FIROZABAD,Rashtriya Sawarn Dal,0,Post Graduate,4718672,0
1688,Kaushal Kumar Yadava,SHRAWASTI,IND,0,Post Graduate,67844,0
1689,Kaushal Pandey,RUDRAPUR,Nirbal Indian Shoshit Hamara Aam Dal,0,Graduate,3012000,900000
1690,Kaushal Yadav,KARHAL,RLD,0,Graduate Professional,11008108,681081
1691,Kaushalendra,BANGERMAU,Bharatiya Subhash Sena,0,Graduate,201100,0
1692,Kaushilya,MARIHAN,Nirbal Indian Shoshit Hamara Aam Dal,0,10th Pass,4870500,0
1693,Kaushilya Devi,GORAKHPUR RURAL,Apna Dal United Party,0,5th Pass,5170000,0
1694,Kaushlendra Pratap Singh Urf Ajit Singh Chandel,MAU,SHS,2,12th Pass,70000,0
1695,Kavita,PURQAZI (SC),Nirbal Indian Shoshit Hamara Aam Dal,0,10th Pass,214000,0
1696,Kawar Pal,GANGOH,IND,0,5th Pass,5079717,0
1697,Keerat Prasad,BARKHERA,Bahujan Mukti Party,0,Graduate Professional,3496000,0
1698,Kesar Singh,NAWABGANJ,BJP,0,12th Pass,33200802,1246906
1699,Kesh Kumari,AMETHI,IND,0,10th Pass,2765000,0
1700,Keshav,TAMKUHI RAJ,Poorvanchal Peoples Party,0,10th Pass,25000,0
1701,Keshav Dev,ALIGARH,IND,0,Illiterate,260000,0
1702,Keshav Singh,BARAULI,INC,1,12th Pass,13315000,0
1703,Keshnath Prasad,JAKHANIAN (SC),NCP,0,Graduate,76000,0
1704,Kesri,SAHAJANWA,Bhartiya Sarvodaya Party,1,12th Pass,108500,600000
1705,Ketakee,BANSDIH,IND,1,Graduate,9455905,0
1706,Keval Singh,PALIA,Sarv Sambhaav Party,0,8th Pass,3918308,330500
1707,Khalid Nasir,FIROZABAD,BSP,0,12th Pass,18215180,7755950
1708,Khalid Pervaiz,BADAUN,All India Majlis-E-Ittehadul Muslimeen,0,Graduate Professional,12960000,10150000
1709,Khlawn,HARGAON (SC),IND,0,Literate,10104,0
1710,Khushi Ram Chaudhary,MAHOLI,Uttar Pradesh Republican Party,1,12th Pass,50000,0
1711,Khushiyal Chandra,BHADOHI,IND,2,Literate,401000,0
1712,Khushreed Ahmad,AMROHA,IND,0,10th Pass,7689430,0
1713,Kilkil Sachan,BHOGNIPUR,IND,0,Graduate,610000,0
1714,Kiran,AMETHI,IND,0,Post Graduate,6159000,250000
1715,Kiran,GHAZIABAD,Sarv Sambhaav Party,0,Graduate Professional,495000,0
1716,Kiran,BANSI,RLD,0,8th Pass,4015572,0
1717,Kiran,VARANASI NORTH,Bharti Samudaya Party,0,10th Pass,29135239,0
1718,Kiran,BALHA (SC),BSP,0,Graduate,24264000,0
1719,Kiran Devi,AMETHI,Bhartiya Krishak Dal,0,5th Pass,1089700,0
1720,Kiran Devi,BABINA,SHS,0,12th Pass,3731818,800000
1721,Kiran Yadav,PATIYALI,SP,0,Graduate,388677427,4341301
1722,Kiran Yadav,BABERU,BSP,0,12th Pass,16547523,0
1723,Kishan Lal,BARKHERA,Bharatiya Subhash Sena,0,10th Pass,411000,0
1724,Kishan Lal,ARYA NAGAR,Bahujan Mukti Party,0,8th Pass,598939,0
1725,Kishan Lal Balmiki,SISHAMAU,Bhartiya Insan Party,0,Not Given,35912,0
1726,Kishan Lal Rajpoot,BARKHERA,BJP,0,12th Pass,1588332,0
1727,Kishan Seth,VARANASI SOUTH,IND,1,12th Pass,2614113,0
1728,Kishanchand,GORAKHPUR URBAN,IND,0,Graduate,110300,0
1729,Kishanlal,SHAHJAHANPUR,IND,0,8th Pass,2566000,0
1730,Kishor Kumar,KHADDA,Peace Party,0,Graduate Professional,7771182,0
1731,Kishore Singh,NOIDA,Bharatiya Democratic Socialist Alliance Party,0,10th Pass,1022900,0
1732,Klectar,BARHAJ,CPI(ML)(L),0,8th Pass,801000,65000
1733,Km. Kunjawati,RUDRAPUR,Bharatiya Swajivi Nagrik Party,0,Post Graduate,3668000,0
1734,Km. Meeta Gautam,ZAIDPUR (SC),BSP,0,Post Graduate,23298392,0
1735,Km. Sarvesha Devi,SHEKHUPUR,IND,0,Post Graduate,436053,0
1736,Km. Vimlesh Kumari,CHANDAUSI (SC),INC,1,Graduate Professional,922204,0
1737,Km.Lata,RAMPUR MANIHARAN(SC),Inqalab Vikas Dal,0,Graduate Professional,138500,0
1738,Km.Yashoda,BISAULI (SC),Jan Adhikar Manch,0,10th Pass,25000,0
1739,Komal,GYANPUR,IND,0,Post Graduate,2216000,0
1740,Kranti,LALITPUR,Rashtriya Kisan Majdoor Party,0,Literate,790000,0
1741,Kripa Shankar Singh,BHAGWANTNAGAR,Lok Dal,0,Post Graduate,19270683,0
1742,Kripal Singh Sengar,SIKANDRA RAO,Jan Adhikar Party,0,Others,13036082,575000
1743,Kriparam,KANNAUJ (SC),Bharatiya Subhash Sena,0,Graduate,2522000,0
1744,Kriparam,NANPARA,RLD,0,12th Pass,11529127,1391637
1745,Kripashankar,OBRA (ST),All India Peoples Front (Radical),0,10th Pass,22000,0
1746,Krishan Dutt,JAHANABAD,Fauji Janta Party,0,8th Pass,3673000,0
1747,Krishan Gopal Dwivedi,JHANSI NAGAR,Hind Jan Congress,0,12th Pass,7203500,0
1748,Krishan Gopal Upadhyay,AGRA SOUTH,Peace Party,0,Graduate,2535000,0
1749,Krishan Kumar,SORAON (SC),Bhartiya Rashtriya Jansatta,0,Graduate,350000,0
1750,Krishan Kumar,MEERUT CANTT.,Hindusthan Nirman Dal,0,Illiterate,1266508,0
1751,Krishan Pal,BADAUN,Bharatiya Subhash Sena,0,5th Pass,5482500,185000
1752,Krishan Pal Singh,MUZAFFAR NAGAR,Bharat Lok Sewak Party,0,10th Pass,5381755,0
1753,Krishana Kumar,BEHAT,IND,0,8th Pass,2581297,0
1754,Krishanpal Malik Urf Krishanpal Malik,BARAUT,BJP,1,10th Pass,119373055,15843747
1755,Krishn Kumar,TULSIPUR,BSP,0,Doctorate,16759419,2527614
1756,Krishn Pal,KATRA,IND,0,Literate,330000,0
1757,Krishna,DEORIA,RLD,0,Doctorate,80994127,0
1758,Krishna Babu,SIKANDRA,IND,0,Graduate,100000,100
1760,Krishna Gopal Patel,NIGHASAN,SP,4,Post Graduate,38330151,1148755
1761,Krishna Kant Singh,NOIDA,Jan Adhikar Manch,0,Graduate,2865000,300000
1762,Krishna Kant Yadav,DIDARGANJ,AIFB,0,Graduate,743000,19200
1763,Krishna Kinkar Singh Rana,KAPTANGANJ,INC,0,Graduate,20728937,549800
1764,Krishna Kumar,SANDI (SC),Bhartiya Krishak Dal,0,Literate,2167700,9000
1765,Krishna Kumar,COLONELGANJ,IND,0,Post Graduate,852566,0
1766,Krishna Kumar Ojha,MAHASI,BSP,1,12th Pass,12680025,2049033
1767,Krishna Kumar Sharma,SADABAD,IND,0,12th Pass,344977,0
1768,Krishna Kumar Upadhyay,HARRAIYA,IND,0,Graduate Professional,6295245,0
1769,Krishna Lal,PRATAPPUR,IND,0,Graduate Professional,752256,0
1770,Krishna Murari,DIDARGANJ,BJP,0,Graduate Professional,24924985,4835275
1771,Krishna Pal,BABINA,BSP,0,12th Pass,13860100,638000
1772,Krishna Pal,NAUGAWAN SADAT,Rashtriya Mahila Janshakti Party,0,12th Pass,1628426,66000
1773,Krishna Pal,AYAH SHAH,IND,0,Illiterate,273597,0
1774,Krishna Pal Awasthi,AYAH SHAH,IND,0,12th Pass,10575000,550000
1775,Krishna Paswan,KHAGA (SC),BJP,1,10th Pass,17041156,2242867
1776,Krishna Patel,ROHANIYA,IND,0,12th Pass,144880601,65900000
1777,Krishnakant,SHIVPUR,Bahujan Mukti Party,0,Post Graduate,126000,0
1778,Krishnakant,MEJA,Bahujan Mukti Party,0,Graduate,14529927,0
1779,Krishnaveer Singh,BIDHUNA,IND,0,Graduate,178914,0
1780,Krishnpal Singh,NOIDA,Pashchimi Uttar Pradesh Vikas Party,0,Graduate,21830000,0
1781,Ku. Narendra Pal Singh,KALPI,BJP,1,Graduate,12301736,324567
1782,Kuber,DADRAUL,IND,0,Illiterate,920000,0
1783,Kulbhanu Kumar,CHHATA,CPI,0,12th Pass,32113829,685000
1784,Kuldeep,NAJIBABAD,Bharatiya Bahujan Parivartan Party,0,5th Pass,1521000,0
1785,Kuldeep,DHOLANA,IND,0,Graduate Professional,429672,0
1786,Kuldeep Gupta \,ETAWAH,SP,1,10th Pass,34135439,4976367
1787,Kuldeep Kumar,KASGANJ,Rashtravadi Pratap Sena,7,Literate,202800,0
1788,Kuldeep Singh Arya,BAGHPAT,INC,7,Doctorate,2085678,0
1789,Kuldeep Singh Chauhan,KALYANPUR,SHS,0,Graduate,1558925,236000
1790,Kuldeep Singh Sengar,BANGERMAU,BJP,1,12th Pass,29044307,0
1791,Kuldeep Urf Kuldeepak Singh,HUSAINGANJ,Adarsh Lok Dal,0,Post Graduate,5680500,80000
1792,Kuleraj Yadav,NANPARA,CPI,0,12th Pass,3280800,0
1793,Kulveer Singh,BARHAPUR,IND,0,10th Pass,37665699,3243549
1794,Kundan Pandey,VARANASI NORTH,Manavadhikar Janshakti Party,0,Post Graduate,48720,0
1795,Kundnika Sharma,AGRA NORTH,IND,4,Post Graduate,7295160,0
1796,Kunj Bihari,ZAIDPUR (SC),IND,0,10th Pass,704000,0
1797,Kunvar Madhvendra Pratap,SAWAYAZPUR,BJP,0,Graduate,88690394,3866145
1798,Kunwar Gaurav Upadhyay,LUCKNOW CANTT.,SHS,1,12th Pass,6770882,472816
1799,Kunwar Jitin Prasada,TILHAR,INC,0,Post Graduate,92147256,0
1800,Kunwar Kaushal Kishor Singh,NAUTANWA,SP,3,12th Pass,17024648,0
1801,Kunwar Shakti Singh,PATTI,BSP,0,12th Pass,71476607,1427488
1802,Kunwarlal,CHARKHARI,IND,0,8th Pass,110702,0
1803,Kunwer,JAKHANIAN (SC),Samajwadi Janata Party (ChandraShekhar),0,Literate,1711500,0
1804,Kurban,BAGHPAT,Sarvjan Samta Party,1,Literate,279500,0
1805,Kushagra Sagar,BISAULI (SC),BJP,0,12th Pass,1538795,0
1806,Kushal Pal Singh,BARAULI,IND,0,Graduate,5809000,0
1807,Kusum,HASTINAPUR (SC),RLD,0,5th Pass,2752813,0
1808,Kusum,MORADABAD RURAL,IND,0,Literate,454000,0
1809,Kusum,CHHIBRAMAU,Bahujan Mukti Party,0,Literate,120000,0
1810,Kusum,SAIYADRAJA,IND,0,Literate,1063720,0
1811,Kusuma,SADABAD,IND,0,12th Pass,8954000,0
1812,Kusumlata Dixit,KHERAGARH,INC,0,8th Pass,68760022,606448
1813,Kusumlata Sharma,SADABAD,Apni Zindgi Apna Dal,0,8th Pass,2768302,0
1814,Kuwar Bharati,BABAGANJ (SC),IND,0,Post Graduate,1463365,0
1815,Kuwarpal,GUNNAUR,Bharatiya Subhash Sena,0,Literate,10219000,0
1816,Lachhan Prajapati,KHADDA,Jay Hind Jay Bharat Party,0,Graduate,6497000,0
1817,Lachhuman,BALLIA NAGAR,Naitik Party,1,10th Pass,7041000,0
1818,Laddan,SISHAMAU,Rashtriya Ulama Council,0,Illiterate,12000,0
1819,Ladlay,JAUNPUR,Ittehad-E-Millait Council,0,Literate,85000,0
1820,Laik Ahmad Mansuri,MEERGANJ,Bhartiya Imaandar Party,0,Literate,202486,0
1821,Lakhan,MAU,Bahujan Mukti Party,0,8th Pass,5590500,0
1822,Lakhan Awasthi,LUCKNOW CANTT.,Swarajya Party Of India,0,10th Pass,3647000,800000
1823,Lakhan Kumar,ETMADPUR,IND,0,Graduate Professional,340000,0
1824,Lakhan Sharma,SHIKARPUR,IND,0,Graduate Professional,1901589,0
1825,Lakhan Singh,DIBIYAPUR,BJP,0,Graduate Professional,14243269,0
1826,Lakhan Singh,ATRAULI,IND,0,10th Pass,333061,0
1827,Lakhan Singh Rajpasi,SIRATHU,Bharat Kranti Rakshak Party,0,Post Graduate,525000,0
1828,Lakshman Prasad Rajora,AGRA SOUTH,IND,0,8th Pass,281000,0
1829,Lakshmi,MACHHLISHAHR (SC),IND,0,10th Pass,39000,0
1830,Lakshmi Devi,AURAIYA (SC),IND,0,Post Graduate,49929162,0
1831,Lal Bahadur,MANJHANPUR (SC),BJP,0,Post Graduate,15128263,5192000
1832,Lal Bahadur,CHAIL,Jan Kalyan Party,0,12th Pass,900000,0
1833,Lal Bahadur,JAKHANIAN (SC),CPI(ML)(L),0,12th Pass,3300,0
1834,Lal Chandra Bharti,BARA (SC),Bahujan Mukti Party,0,10th Pass,6248855,0
1835,Lal Ji,BANSI,SP,1,12th Pass,27008143,1103521
1836,Lal Ji Verma,KATEHARI,BSP,0,Post Graduate,74366220,6515328
1837,Lal Ji Yadav,ITWA,IND,0,Post Graduate,1184634,0
1838,Lal Kumar,KARHAL,Rashtriya Kisan Majdoor Party,0,Graduate,2827000,0
1839,Lal Prakash Pal,JAUNPUR,Peace Party,0,Graduate,2587500,0
1840,Lal Pratap,MARIYAHU,IND,0,Post Graduate,50547063,3698253
1841,Lal Singh,DEBAI,Republican Sena,0,10th Pass,620000,0
1842,Lal Singh,FATEHPUR SIKRI,SP,0,12th Pass,6549792,1316915
1843,Lala Ram Gautam,HAPUR,IND,0,10th Pass,1715855,0
1844,Lalan Singh,SAROJINI NAGAR,Bharat Kranti Rakshak Party,0,5th Pass,2650000,0
1845,Lalaram,BABINA,Swatantra Jantaraj Party,0,12th Pass,178064,0
1846,Lalata,AJAGARA (SC),Bhartiya Samajik Kranti Dal,0,12th Pass,503000,1500
1847,Lalbahadur Verma,SHAHGANJ,IND,0,Graduate,2901300,130000
1848,Lalchandra Nishad,BANSI,BSP,0,12th Pass,18082611,2034852
1849,Lalit,BAIRIA,IND,0,Graduate,3800000,0
1850,Lalit Kumar,AKBARPUR-RANIYA,Peace Party,4,8th Pass,2258018,0
1851,Lalit Kumar,MANT,IND,0,Graduate Professional,53448000,15272000
1852,Lalit Kumar Gond,BARA (SC),Jay Hind Jay Bharat Party,0,Graduate,20000,0
1853,Lalit Mohan Saxena,DHOLANA,Peace Party,1,8th Pass,2170000,0
1854,Lalit Narayan Mishra,PATTI,CPI,1,Post Graduate,11300000,0
1855,Lalit Saraswat,KOIL,IND,0,12th Pass,637000,0
1856,Laliteshpati Tripathi,MARIHAN,INC,2,Graduate,77994260,4010855
1857,Laljee,BALHA (SC),Bahujan Mukti Party,0,10th Pass,1153500,0
1858,Lalji,MUNGRA BADSHAHPUR,Bahujan Mukti Party,0,Post Graduate,114461,0
1859,Lalji,ZAIDPUR (SC),Dr. Bhimrao Ambedkar Dal,0,10th Pass,882000,0
1860,Lalji Sonkar,AJAGARA (SC),SP,1,Literate,2463821,0
1861,Lalji Srivastava,SULTANPUR,Pragatisheel Manav Samaj Party,0,Post Graduate,5104000,33000
1862,Lalji Yadava,BADLAPUR,BSP,2,Post Graduate,25767500,25000000
1863,Lallan,MEJA,Desh Shakti Party,0,12th Pass,16000,0
1864,Lallu Prasad,HAMIRPUR,IND,3,10th Pass,411000,0
1865,Lautan,ATRAULIYA,Bharatiya Subhash Sena,0,12th Pass,2600000,0
1866,Lav Kumar Bansal,ALIGARH,RLD,0,Graduate Professional,1806500,300000
1867,Lavkush,MAHADEWA (SC),RLD,0,8th Pass,102264,0
1868,Laxman,DHAMPUR,IND,0,Post Graduate,1598708,0
1869,Laxman,BALLIA NAGAR,SP,0,Post Graduate,10445716,0
1870,Laxman Kumar,BIDHUNA,Jan Adhikar Party,0,Post Graduate,720000,0
1871,Laxman Singh,JHANSI NAGAR,CPI,0,8th Pass,1761464,0
1872,Laxman Singh Yadav,CHHARRA,Lok Dal,1,5th Pass,3377201,0
1873,Laxmi Narayan,CHHATA,BJP,0,Post Graduate,62948143,4824007
1874,Laxmi Prasad,ATRAULIYA,IND,0,Literate,2009000,0
1875,Laxmi Saini,SUAR,BJP,0,Post Graduate,5180105,85000
1876,Laxmikant Bajpai,MEERUT,BJP,2,Graduate,21178229,865055
1877,Leela Devi,HASANPUR,Rashtriya Janhit Sangharsh Party,0,12th Pass,450000,0
1878,Leena,MARIYAHU,Apna Dal (Soneylal),0,Not Given,9328461,0
1879,Leena Singh,KISHNI (SC),IND,0,Graduate,659794,0
1880,Leena Singhal,NAJIBABAD,RLD,0,Post Graduate,22775598,1638100
1881,Liaqat Ali Khan,LAKHIMPUR,RLD,1,Post Graduate,8066000,290000
1882,Lilawati,SORAON (SC),Yuva Vikas Party,0,Literate,101000,0
1883,Liyakat Ali,MEERAPUR,SP,0,8th Pass,5725000,0
1884,Lokendra Kumar,SHAMLI,IND,0,Literate,2286401,0
1885,Lokendra Pal Singh,CHHARRA,IND,0,Post Graduate,490000,0
