Constituency,Candidate,Party,Votes
Manipur - Wangkhem,LAISHRAM THANIL MEITEI,National People's Party,136
Manipur - Wangkhem,None of the Above,None of the Above,177
Manipur - Heirok,THOKCHOM RADHESHYAM SINGH,Bharatiya Janata Party,13389
Manipur - Heirok,MOIRANGTHEM OKENDRO,Indian National Congress,11742
Manipur - Heirok,NINGTHOUJAM DITEN,Nationalist Congress Party,3321
Manipur - Heirok,MOIRANGTHEM TOTOMSANA,All India Trinamool Congress,85
Manipur - Heirok,NONGMEIKAPAM SOVAKIRAN SINGH,Manipur People‰Ûªs Party,84
Manipur - Heirok,None of the Above,None of the Above,94
Manipur - Wangjing tentha,PAONAM BROJEN SINGH,Indian National Congress,12830
Manipur - Wangjing tentha,MOIRANGTHEM HEMANTA,Bharatiya Janata Party,10967
Manipur - Wangjing tentha,HAOBAM ROBINDRO SINGH,Communist Party of India,5562
Manipur - Wangjing tentha,SAGOLSEM IBOCHOUBI SINGH,Manipur National Democratic Front,121
Manipur - Wangjing tentha,None of the Above,None of the Above,105
Manipur - Khangabok,SURJAKUMAR OKRAM,Indian National Congress,20781
Manipur - Khangabok,THOKCHOM JADUMANI SINGH,Bharatiya Janata Party,11329
Manipur - Khangabok,HAJI ASRAF ALI,National People's Party,116
Manipur - Khangabok,None of the Above,None of the Above,133
Manipur - Wabgai,MD. FAJUR RAHIM,Indian National Congress,12474
Manipur - Wabgai,DR. USHAM DEBEN SINGH,Bharatiya Janata Party,7713
Manipur - Wabgai,MAYENGBAM RANJIT SINGH,North East India Development Party,5264
Manipur - Wabgai,MD. ABDUL SAMAD,Manipur National Democratic Front,1695
Manipur - Wabgai,MOHAMMAD HABIBUR RAHMAN,National People's Party,326
Manipur - Wabgai,NAJIMA BIBI,Peoples Resurgence and Justice Alliance,33
Manipur - Wabgai,None of the Above,None of the Above,117
Manipur - Kakching,YENGKHOM SURCHANDRA SINGH,Indian National Congress,11133
Manipur - Kakching,M. RAMESHWAR SINGH (RAMAY),Bharatiya Janata Party,10503
Manipur - Kakching,NAOREM ACHOUBA,Communist Party of India,2215
Manipur - Kakching,None of the Above,None of the Above,249
Manipur - Hiyanglam,DR. RADHESHYAM YUMNAM,Bharatiya Janata Party,13394
Manipur - Hiyanglam,ELANGBAM DWIJAMANI SINGH,Indian National Congress,11669
Manipur - Hiyanglam,None of the Above,None of the Above,127
Manipur - Sugnu,KANGUJAM RANJIT SINGH,Indian National Congress,13331
Manipur - Sugnu,YUMNAM JIBAN SINGH,Bharatiya Janata Party,10198
Manipur - Sugnu,None of the Above,None of the Above,196
Manipur - Jiribam,ASHAB UDDIN,Independent,8189
Manipur - Jiribam,THOUDAM DEBENDRA SINGH,Indian National Congress,6539
Manipur - Jiribam,THOUNAOJAM RANABIR SINGH,Bharatiya Janata Party,3199
Manipur - Jiribam,A. BIREN SINGH,North East India Development Party,2812
Manipur - Jiribam,MATHIUDIN KAMEI,Naga Peoples Front,1163
Manipur - Jiribam,HABIB ALI,National People's Party,649
Manipur - Jiribam,None of the Above,None of the Above,389
Manipur - Chandel (st),LETPAO HAOKIP,National People's Party,14216
Manipur - Chandel (st),TS WARNGAM,Independent,12091
Manipur - Chandel (st),S.S. OLISH,Bharatiya Janata Party,9842
Manipur - Chandel (st),BD. BEHRING ANAL,People's Democratic Alliance,3044
Manipur - Chandel (st),ST. VICTOR NUNGHLUNG,Naga Peoples Front,1574
Manipur - Chandel (st),CHUNGJALEN HAOKIP,Indian National Congress,1185
Manipur - Chandel (st),THANGKHOLUN HAOKIP,All India Trinamool Congress,221
Manipur - Chandel (st),None of the Above,None of the Above,163
Manipur - Tengnoupal (st),D. KORUNGTHANG,Indian National Congress,16940
Manipur - Tengnoupal (st),YANGKHOLET HAOKIP,Bharatiya Janata Party,12284
Manipur - Tengnoupal (st),KHULPUWA ARMSTRONG CHARANG,Naga Peoples Front,11015
Manipur - Tengnoupal (st),KH DAVID MARING,National People's Party,1300
Manipur - Tengnoupal (st),None of the Above,None of the Above,150
Manipur - Phungyar (st),K. LEISHIYO,Naga Peoples Front,11900
Manipur - Phungyar (st),SOMI AWUNGSHI,Bharatiya Janata Party,7122
Manipur - Phungyar (st),VICTOR KEISHING,Indian National Congress,5313
Manipur - Phungyar (st),A.S. HOPINGSON,Independent,452
Manipur - Phungyar (st),M.K. PHUNGREIYO,All India Trinamool Congress,97
Manipur - Phungyar (st),None of the Above,None of the Above,72
Manipur - Ukhrul (st),ALFRED KANNGAM ARTHUR,Indian National Congress,11510
Manipur - Ukhrul (st),SOMATAI SHAIZA,Bharatiya Janata Party,11214
Manipur - Ukhrul (st),SAMUEL RISOM,Naga Peoples Front,8883
Manipur - Ukhrul (st),WORTHINGTON MAHUNG,Lok Jan Shakti Party,310
Manipur - Ukhrul (st),LETSEI HAOKIP,All India Trinamool Congress,115
Manipur - Ukhrul (st),None of the Above,None of the Above,46
Manipur - Chingai (st),KHASHIM VASHUM,Naga Peoples Front,16582
Manipur - Chingai (st),SWORD VASHUM,Bharatiya Janata Party,8932
Manipur - Chingai (st),PRESHOW M.K SHIMRAY,Indian National Congress,6370
Manipur - Chingai (st),N.K. SHIMRAY,North East India Development Party,157
Manipur - Chingai (st),None of the Above,None of the Above,30
Manipur - Saikul (st),YAMTHONG HAOKIP,Indian National Congress,8677
Manipur - Saikul (st),CHUNGKHOKAI DOUNGEL,Nationalist Congress Party,5416
Manipur - Saikul (st),PAOJALET TOUTHANG,Bharatiya Janata Party,4439
Manipur - Saikul (st),DOUKHOMANG KHONGSAI,North East India Development Party,4008
Manipur - Saikul (st),CH. AJANG KHONGSAI,National People's Party,2993
Manipur - Saikul (st),THANGJAMANG HAOKIP,Lok Jan Shakti Party,2803
Manipur - Saikul (st),L. SAMUEL KOM,Republican Party of India (A),464
Manipur - Saikul (st),MANGVUNG THANGBOI HAOKIP,Naga Peoples Front,304
Manipur - Saikul (st),LETJAM SINGSON,Manipur National Democratic Front,67
Manipur - Saikul (st),HORNGAM KEISHING,All India Trinamool Congress,61
Manipur - Saikul (st),KENN RAIKHAN,Independent,45
Manipur - Saikul (st),None of the Above,None of the Above,45
Manipur - Karong (st),D.D. THAISII,Indian National Congress,14038
Manipur - Karong (st),R. YUH JONATHAN TAO,Bharatiya Janata Party,9745
Manipur - Karong (st),THAIBA SANII,Independent,7322
Manipur - Karong (st),SOLOMON VIENO,Independent,6553
Manipur - Karong (st),DR. V. ALEXANDER PAO,Naga Peoples Front,5342
Manipur - Karong (st),T.K. SAVANAI,Lok Jan Shakti Party,951
Manipur - Karong (st),None of the Above,None of the Above,145
Manipur - Mao (st),LOSII DIKHO,Naga Peoples Front,25933
Manipur - Mao (st),WOBA JORAM,Bharatiya Janata Party,10519
Manipur - Mao (st),P.T. ARHAI,Indian National Congress,7604
Manipur - Mao (st),R. HABA PAO,Independent,5101
Manipur - Mao (st),None of the Above,None of the Above,59
Manipur - Tadubi (st),N. KAYISII,National People's Party,17115
Manipur - Tadubi (st),M. FRANCIS NGAJOKPA,Bharatiya Janata Party,15816
Manipur - Tadubi (st),K. RAINA,Naga Peoples Front,6614
Manipur - Tadubi (st),DILUNGHEING,Lok Jan Shakti Party,354
Manipur - Tadubi (st),L. HINGBA THOMAS,Manipur National Democratic Front,330
Manipur - Tadubi (st),R.S. HENRY HIILII,Indian National Congress,305
Manipur - Tadubi (st),None of the Above,None of the Above,223
Manipur - Kangpokpi (Gen),NEMCHA KIPGEN,Bharatiya Janata Party,13485
Manipur - Kangpokpi (Gen),KHARGA TAMANG,Independent,11188
Manipur - Kangpokpi (Gen),ATHIKHO SOLOMON ENAH,Naga Peoples Front,875
Manipur - Kangpokpi (Gen),SOSHIM KEISHING,Nationalist Congress Party,228
Manipur - Kangpokpi (Gen),None of the Above,None of the Above,289
Manipur - Saitu (ST),NGAMTHANG HAOKIP,Indian National Congress,19467
Manipur - Saitu (ST),HAOKHOLET KIPGEN,Bharatiya Janata Party,15650
Manipur - Saitu (ST),SEHPU HAOKIP,Naga Peoples Front,1166
Manipur - Saitu (ST),None of the Above,None of the Above,110
Manipur - Tamei (ST),AWANGBOW NEWMAI,Naga Peoples Front,15933
Manipur - Tamei (ST),Z. KIKHONBOU NEWMAI,Bharatiya Janata Party,15186
Manipur - Tamei (ST),G.N. KUMUITEUNG (DR. AKU),Indian National Congress,1136
Manipur - Tamei (ST),None of the Above,None of the Above,40
Manipur - Tamenglong (ST),SAMUEL JENDAI KAMEI,Bharatiya Janata Party,13023
Manipur - Tamenglong (ST),JANGHEMLUNG PANMEI,Naga Peoples Front,11019
Manipur - Tamenglong (ST),JANGAMLUNG PANMEI,Indian National Congress,215
Manipur - Tamenglong (ST),None of the Above,None of the Above,114
Manipur - Nungba (ST),GAIKHANGAM,Indian National Congress,10255
Manipur - Nungba (ST),ADIM PAMEI,Bharatiya Janata Party,5108
Manipur - Nungba (ST),POU MATHIUPUANG GONMEI,Lok Jan Shakti Party,4111
Manipur - Nungba (ST),KAMEI WILLIAM KABUI,All India Trinamool Congress,110
Manipur - Nungba (ST),None of the Above,None of the Above,75
Manipur - Tipaimukh (st),DR. CHALTONLIEN AMO,Indian National Congress,4997
Manipur - Tipaimukh (st),DR. LALLUKHUM FIMATE,Bharatiya Janata Party,4371
Manipur - Tipaimukh (st),NGURSANGLUR SANATE,National People's Party,2167
Manipur - Tipaimukh (st),NGURRIVUNG,Independent,132
Manipur - Tipaimukh (st),THANGTHATLING SINATE,Independent,106
Manipur - Tipaimukh (st),None of the Above,None of the Above,25
Manipur - Thanlon (ST),VUNGZAGIN VALTE,Bharatiya Janata Party,9752
Manipur - Thanlon (ST),CHINKHOLAL THANGSING,Indian National Congress,2583
Manipur - Thanlon (ST),THANGKHANGIN,Lok Jan Shakti Party,795
Manipur - Thanlon (ST),T. NENGZAKHAM TOMBING,National People's Party,413
Manipur - Thanlon (ST),P. KHAMSANGLIAN,Independent,107
Manipur - Thanlon (ST),None of the Above,None of the Above,37
Manipur - Henglep (ST),T. THANGZALAM HAOKIP,Bharatiya Janata Party,8438
Manipur - Henglep (ST),T. MANGA VAIPHEI,Indian National Congress,8170
Manipur - Henglep (ST),LETZAMANG HAOKIP,National People's Party,5146
Manipur - Henglep (ST),MANGCHA GANGTE,Manipur National Democratic Front,1303
Manipur - Henglep (ST),THONGZAMLIEN,Naga Peoples Front,547
Manipur - Henglep (ST),DR. JAINSON HAOKIP,All India Trinamool Congress,107
Manipur - Henglep (ST),None of the Above,None of the Above,71
Manipur - Churachandpur (ST),V. HANGKHANLIAN,Bharatiya Janata Party,10246
Manipur - Churachandpur (ST),PHUNGZATHANG TONSING,National People's Party,9632
Manipur - Churachandpur (ST),PAUKHANSUAN KHUPTONG,North East India Development Party,6411
Manipur - Churachandpur (ST),THANGBIAKLIAN HANGZO,Republican Party of India (A),3712
Manipur - Churachandpur (ST),CHINTWAHLIAN @ C.T. LIAN GUITE,Independent,3040
Manipur - Churachandpur (ST),HAUKHANTHANG,Indian National Congress,535
Manipur - Churachandpur (ST),DR. D.K. MANG,Independent,156
Manipur - Churachandpur (ST),None of the Above,None of the Above,108
Manipur - Saikot (ST),T. N. HAOKIP,Indian National Congress,16354
Manipur - Saikot (ST),PAOKHOLAL HAOKIP,Bharatiya Janata Party,11253
Manipur - Saikot (ST),HOLKHOLUN LHUNGDIM,Lok Jan Shakti Party,6096
Manipur - Saikot (ST),None of the Above,None of the Above,189
Manipur - Singhat (ST),GINSUANHAU,Indian National Congress,8131
Manipur - Singhat (ST),CHINLUNTHANG,Bharatiya Janata Party,6969
Manipur - Singhat (ST),HENLIANTHANG THANGLET,National People's Party,3124
Manipur - Singhat (ST),None of the Above,None of the Above,111
Uttarakhand - Purola,RAJKUMAR,Indian National Congress,17798
Uttarakhand - Purola,MALCHAND,Bharatiya Janata Party,16785
Uttarakhand - Purola,DURGESHWAR LAL,Independent,13508
Uttarakhand - Purola,RAMLAL,Bahujan Samaj Party,679
Uttarakhand - Purola,None of the Above,None of the Above,762
Uttarakhand - Yamunotri,KEDAR SINGH,Bharatiya Janata Party,19800
Uttarakhand - Yamunotri,SANJAY DOBHAL,Indian National Congress,13840
Uttarakhand - Yamunotri,PRAKASH CHAND RAMOLA,Independent,7061
Uttarakhand - Yamunotri,RANVEER SINGH,Independent,4613
Uttarakhand - Yamunotri,RAJBAHADUR SINGH BAUDDH,Bahujan Samaj Party,530
Uttarakhand - Yamunotri,JAIPRAKASH,Sarv Vikas Party,342
Uttarakhand - Yamunotri,DHARMANAND BIJALWAN,Independent,248
Uttarakhand - Yamunotri,PURUSHOTTAM UNIYAL,Uttarakhand Kranti Dal,246
Uttarakhand - Yamunotri,None of the Above,None of the Above,424
Uttarakhand - Gangotri,GOPAL SINGH RAWAT,Bharatiya Janata Party,25683
Uttarakhand - Gangotri,VIJAYPAL SINGH SAJWAN,Indian National Congress,16073
Uttarakhand - Gangotri,SURATRAM NAUTIYAL,Independent,9491
Uttarakhand - Gangotri,BHUPENDRA SINGH,Independent,1526
Uttarakhand - Gangotri,VIJAYPAL TANGANI,Bahujan Samaj Party,576
Uttarakhand - Gangotri,MAHAVEER PRASAD,Communist Party of India,553
Uttarakhand - Gangotri,RAJBEER SINGH PARMAR,Rashtriya Jan Sahay Dal,412
Uttarakhand - Gangotri,RATAN LAL VERMA,Independent,213
Uttarakhand - Gangotri,VISHNUPAL SINGH RAWAT,Uttarakhand Kranti Dal,192
Uttarakhand - Gangotri,None of the Above,None of the Above,933
Uttarakhand - Badrinath,MAHENDRA BHATT,Bharatiya Janata Party,29676
Uttarakhand - Badrinath,RAJENDRA SINGH BHANDARI,Indian National Congress,24042
Uttarakhand - Badrinath,BHARAT SINGH KUNWAR,Communist Party of India,2380
Uttarakhand - Badrinath,VINOD FONIA,Independent,2370
Uttarakhand - Badrinath,MUKESH LAL KOSHWAL,Bahujan Samaj Party,1652
Uttarakhand - Badrinath,ARUNA DANWASHI,Independent,916
Uttarakhand - Badrinath,KEERAT SINGH BHANDARI,Samajwadi Party,859
Uttarakhand - Badrinath,DEVENDRA SINGH NEGI,Uttarakhand Kranti Dal,487
Uttarakhand - Badrinath,LAXMI PRASAD SATI,Independent,335
Uttarakhand - Badrinath,None of the Above,None of the Above,691
Uttarakhand - Tharali,MAGAN LAL SHAH,Bharatiya Janata Party,25810
Uttarakhand - Tharali,DR. JEET RAM,Indian National Congress,20889
Uttarakhand - Tharali,GUDDU LAL,Independent,7088
Uttarakhand - Tharali,MOHAN LAL KANYAL,Bahujan Samaj Party,848
Uttarakhand - Tharali,RAJPAL KANYAL,Communist Party of India  (Marxist),750
Uttarakhand - Tharali,CAPT. (RETD) GANESH KUMAR,Independent,591
Uttarakhand - Tharali,KASBI LAL SHAH,Uttarakhand Kranti Dal,335
Uttarakhand - Tharali,BIRENDRA LAL TAMTA,Samajwadi Party,270
Uttarakhand - Tharali,RADHA BALLABH KANYAL,Prajamandal Party,255
Uttarakhand - Tharali,None of the Above,None of the Above,1757
Uttarakhand - Karnprayag,SURENDRA SINGH NEGI,Bharatiya Janata Party,28159
Uttarakhand - Karnprayag,DR. ANSUYA PARSAD MAIKHURI,Indian National Congress,20610
Uttarakhand - Karnprayag,INDRESH MAIKHURI,Communist Party of India  (Marxist-Leninist)  (Liberation),1331
Uttarakhand - Karnprayag,BALWANT SINGH NEGI,Uttarakhand Kranti Dal,1232
Uttarakhand - Karnprayag,JYOTI KANWASI,Bahujan Samaj Party,857
Uttarakhand - Karnprayag,BHAGAT SINGH NEGI,Independent,673
Uttarakhand - Karnprayag,MOHAN SINGH NEGI,Independent,300
Uttarakhand - Karnprayag,PADAM SINGH,Independent,281
Uttarakhand - Karnprayag,ANANDMANI DUTT JOSHI JHALMAMA,Independent,189
Uttarakhand - Karnprayag,None of the Above,None of the Above,810
Uttarakhand - Kedarnath,MANOJ RAWAT,Indian National Congress,13906
Uttarakhand - Kedarnath,KULDEEP SINGH RAWAT,Independent,13037
Uttarakhand - Kedarnath,ASHA,Independent,11786
Uttarakhand - Kedarnath,SHAILA RANI RAWAT,Bharatiya Janata Party,11472
Uttarakhand - Kedarnath,GANGADHAR,Uttarakhand Kranti Dal,2734
Uttarakhand - Kedarnath,GANGADHAR,Communist Party of India  (Marxist),1001
Uttarakhand - Kedarnath,SHAMBHU PRASAD BHATT,Independent,650
Uttarakhand - Kedarnath,VIKRAM SINGH,Sainik Samaj Party,456
Uttarakhand - Kedarnath,KUNDAN LAL,Bahujan Samaj Party,447
Uttarakhand - Kedarnath,None of the Above,None of the Above,715
Uttarakhand - Rudraprayag,BHARAT SINGH,Bharatiya Janata Party,29333
Uttarakhand - Rudraprayag,LAXMI SINGH RANA,Indian National Congress,14701
Uttarakhand - Rudraprayag,PRADEEP PRASAD THAPLIYAL,Independent,5818
Uttarakhand - Rudraprayag,JAGMOHAN SINGH RAUTHAN,Independent,3342
Uttarakhand - Rudraprayag,SURJEET LAL,Bahujan Samaj Party,801
Uttarakhand - Rudraprayag,LALITA PRASAD,Communist Party of India,746
Uttarakhand - Rudraprayag,BHAGWATI PRASAD,Independent,711
Uttarakhand - Rudraprayag,JAI OM PRAKASH,Independent,642
Uttarakhand - Rudraprayag,JAGDISH SINGH,Independent,359
Uttarakhand - Rudraprayag,DEVENDRA PRASAD,Uttarakhand Kranti Dal,237
Uttarakhand - Rudraprayag,ANIL RAWAT,Independent,220
Uttarakhand - Rudraprayag,None of the Above,None of the Above,1266
Uttarakhand - Ghanshali,SHAKTI LAL SHAH,Bharatiya Janata Party,22103
Uttarakhand - Ghanshali,DHANILAL SHAH,Independent,10450
Uttarakhand - Ghanshali,BHEEM LAL ARYA,Indian National Congress,4963
Uttarakhand - Ghanshali,PREM LAL,Independent,3062
Uttarakhand - Ghanshali,MAKAN LAL,Uttarakhand Raksha Morcha,1458
Uttarakhand - Ghanshali,KAMAL DAS,Independent,715
Uttarakhand - Ghanshali,PINGAL DASS,Bahujan Samaj Party,653
Uttarakhand - Ghanshali,SIMAN LAL ARYA,Uttarakhand Kranti Dal,395
Uttarakhand - Ghanshali,None of the Above,None of the Above,995
Uttarakhand - Devprayag,VINOD KANDARI,Bharatiya Janata Party,13824
Uttarakhand - Devprayag,DIWAKAR BHATT,Independent,10325
Uttarakhand - Devprayag,MANTRI PRASAD NAITHANI,Indian National Congress,8742
Uttarakhand - Devprayag,SHOORBEER SINGH SAJWAN,Independent,6681
Uttarakhand - Devprayag,SAMEER RATURI,Prajamandal Party,728
Uttarakhand - Devprayag,GANESH BHATT,Uttarakhand Kranti Dal (Democratic),702
Uttarakhand - Devprayag,SUNDAR SINGH RANA,Independent,547
Uttarakhand - Devprayag,SITARAM RANAKOTI,Sainik Samaj Party,454
Uttarakhand - Devprayag,ANIL BAHUGUNA,Indian Business Party,319
Uttarakhand - Devprayag,DEENA DEVI,Independent,309
Uttarakhand - Devprayag,GAUREE SANKER,Bahujan Samaj Party,204
Uttarakhand - Devprayag,JAMUNA PRASAD RAIWANI,Sarv Vikas Party,171
Uttarakhand - Devprayag,RAJU MAURYA,Uttarakhand Kranti Dal,156
Uttarakhand - Devprayag,RAGHUNANDAN PRASAD PANDEY,Shivsena,85
Uttarakhand - Devprayag,None of the Above,None of the Above,294
Uttarakhand - Narendranagar,SUBODH UNIYAL,Bharatiya Janata Party,24104
Uttarakhand - Narendranagar,OM GOPAL RAWAT,Independent,19132
Uttarakhand - Narendranagar,HIMANSHU BIJALWAN,Indian National Congress,4328
Uttarakhand - Narendranagar,SARDAR SINGH,Uttarakhand Kranti Dal,3314
Uttarakhand - Narendranagar,JAGDISH KULIYAL,Communist Party of India,427
Uttarakhand - Narendranagar,HAKIM SINGH,Bahujan Samaj Party,417
Uttarakhand - Narendranagar,USHA NEGI,Sainik Samaj Party,260
Uttarakhand - Narendranagar,None of the Above,None of the Above,563
Uttarakhand - Pratapnagar,VIJAY SINGH PANWAR(GUDDU BHAI),Bharatiya Janata Party,15058
Uttarakhand - Pratapnagar,VIKRAM SINGH NEGI,Indian National Congress,13119
Uttarakhand - Pratapnagar,RAJESHWAR PRASAD PAINULY,Indian Business Party,5594
Uttarakhand - Pratapnagar,MURARI LAL KHANDWAL,Independent,3774
Uttarakhand - Pratapnagar,PANKAJ VYAS,Uttarakhand Kranti Dal,1078
Uttarakhand - Pratapnagar,VIJAYPAL SINGH RAWAT,Independent,1025
Uttarakhand - Pratapnagar,MOHAN SINGH NEGI,Independent,503
Uttarakhand - Pratapnagar,KEDAR LAL,Independent,316
Uttarakhand - Pratapnagar,KANAK PAL SINGH,Bahujan Samaj Party,307
Uttarakhand - Pratapnagar,None of the Above,None of the Above,556
Uttarakhand - Tehri,DHAN SINGH NEGI,Bharatiya Janata Party,20896
Uttarakhand - Tehri,DINESH DHANAI,Independent,14056
Uttarakhand - Tehri,NARENDRA CHAND RAMOLA,Indian National Congress,4466
Uttarakhand - Tehri,SUSHIL CHANDRA BAHUGUNA,Hamari Janmanch Party,1067
Uttarakhand - Tehri,SANJAY KUMAR MAITHANI,Independent,984
Uttarakhand - Tehri,TRILOK SINGH NEGI,Independent,722
Uttarakhand - Tehri,GOPAL DUTT CHAMOLI,Independent,585
Uttarakhand - Tehri,BUDHI SINGH PUNDIR,Uttarakhand Kranti Dal,507
Uttarakhand - Tehri,BHAGWAN SINGH RANA,Communist Party of India  (Marxist),285
Uttarakhand - Tehri,GANESH KUDIYAL,Independent,180
Uttarakhand - Tehri,SOMI LAL,Bahujan Samaj Party,133
Uttarakhand - Tehri,None of the Above,None of the Above,476
Uttarakhand - Dhanolti,PRITAM SINGH PANWAR,Independent,17811
Uttarakhand - Dhanolti,NARAYAN SINGH RANA,Bharatiya Janata Party,16196
Uttarakhand - Dhanolti,MANMOHAN SINGH MALL (MANNU BHAI),Indian National Congress,12193
Uttarakhand - Dhanolti,RAKESH SEMWAL,Uttarakhand Kranti Dal,789
Uttarakhand - Dhanolti,DINESH,Bahujan Samaj Party,551
Uttarakhand - Dhanolti,UTTAM SINGH,Independent,534
Uttarakhand - Dhanolti,CHAMAN NAUTIYAL,Independent,463
Uttarakhand - Dhanolti,PREM DUTT,Indian Business Party,332
Uttarakhand - Dhanolti,None of the Above,None of the Above,640
Uttarakhand - Chakrata,PRITAM SINGH,Indian National Congress,34968
Uttarakhand - Chakrata,MADHU CHAUHAN,Bharatiya Janata Party,33425
Uttarakhand - Chakrata,DAULAT KUNWAR,Bahujan Samaj Party,2375
Uttarakhand - Chakrata,SWARAJ SINGH,Independent,723
Uttarakhand - Chakrata,None of the Above,None of the Above,391
Uttarakhand - Vikasnagar,MUNNA SINGH CHAUHAN,Bharatiya Janata Party,38895
Uttarakhand - Vikasnagar,NAVPRABHAT,Indian National Congress,32477
Uttarakhand - Vikasnagar,VIPUL JAIN,Independent,2412
Uttarakhand - Vikasnagar,GIREESH KUMAR,Bahujan Samaj Party,594
Uttarakhand - Vikasnagar,SANDEEP DUBEY,Independent,499
Uttarakhand - Vikasnagar,DIGAMBAR SINGH,Uttarakhand Kranti Dal,392
Uttarakhand - Vikasnagar,RAJEEV KUMAR,Independent,369
Uttarakhand - Vikasnagar,GURUMEL SINGH,Independent,332
Uttarakhand - Vikasnagar,KAUSHAL KISHOR GAUTAM,Samajwadi Party,258
Uttarakhand - Vikasnagar,BHASKAR CHUG,All India Forward Bloc,197
Uttarakhand - Vikasnagar,ASHOK SINGH,Independent,103
Uttarakhand - Vikasnagar,DINESH KUMAR SHARMA,Independent,89
Uttarakhand - Vikasnagar,None of the Above,None of the Above,466
Uttarakhand - Sahaspur,SAHDEV SINGH PUNDIR,Bharatiya Janata Party,44055
Uttarakhand - Sahaspur,KISHORE UPADHAYA,Indian National Congress,25192
Uttarakhand - Sahaspur,ARYENDRA SHARMA,Independent,21888
Uttarakhand - Sahaspur,LAXMI AGARWAL,Independent,8628
Uttarakhand - Sahaspur,GAURAV PUNDIR,Independent,2963
Uttarakhand - Sahaspur,PRAKASH JOSHI,Independent,1410
Uttarakhand - Sahaspur,SHIV PRASAD DEVLI,Communist Party of India  (Marxist),1110
Uttarakhand - Sahaspur,ILTAF,Bahujan Samaj Party,831
Uttarakhand - Sahaspur,ADESH KUMAR,Sarv Vikas Party,520
Uttarakhand - Sahaspur,MANJU SINGH,Rashtriya Lok Dal,401
Uttarakhand - Sahaspur,RAM VACHAN RAM,Independent,332
Uttarakhand - Sahaspur,OMPRAKASH SHARMA,Independent,315
Uttarakhand - Sahaspur,SHASHTRI PAWAN MALETHA,Uttarakhand Kranti Dal (Democratic),294
Uttarakhand - Sahaspur,CHAITANYA ANIL,Shivsena,165
Uttarakhand - Sahaspur,None of the Above,None of the Above,673
Uttarakhand - Dharampur,VINOD CHAMOLI,Bharatiya Janata Party,53828
Uttarakhand - Dharampur,DINESH AGARWAL,Indian National Congress,42875
Uttarakhand - Dharampur,NOOR HASSAN,Independent,4117
Uttarakhand - Dharampur,SALEEM AHMED,Bahujan Samaj Party,951
Uttarakhand - Dharampur,JOGENDRA RAWAT,Independent,577
Uttarakhand - Dharampur,RAJANI RAWAT,Independent,541
Uttarakhand - Dharampur,RAMSUKH,Independent,475
Uttarakhand - Dharampur,BAHADUR SINGH RAWAT,Uttarakhand Kranti Dal,439
Uttarakhand - Dharampur,MOHAMMAD ISMAIL,Independent,356
Uttarakhand - Dharampur,RUPENDRA KUMAR TOMAR,Independent,236
Uttarakhand - Dharampur,NIRAJ SINGHAL,Independent,188
Uttarakhand - Dharampur,GULISTA KHANAM,Independent,180
Uttarakhand - Dharampur,PRITAM SINGH KULVANSHI,Independent,163
Uttarakhand - Dharampur,ANIL KUMAR GUPTA,Independent,137
Uttarakhand - Dharampur,BRIJ BHUSHAN KARANWAL,Independent,131
Uttarakhand - Dharampur,MEHERBAN,Independent,113
Uttarakhand - Dharampur,SANJAY SRIVASTAVA,Independent,111
Uttarakhand - Dharampur,HRIDAY BHUSHAN DIMRI,Sarv Vikas Party,109
Uttarakhand - Dharampur,MAN MOHAN LAKHERA,Hamari Janmanch Party,99
Uttarakhand - Dharampur,None of the Above,None of the Above,377
Uttarakhand - Raipur,UMESH SHARMA KAU,Bharatiya Janata Party,59764
Uttarakhand - Raipur,PRABHU LAL,Indian National Congress,22993
Uttarakhand - Raipur,RAJNI RAWAT,Independent,7569
Uttarakhand - Raipur,MAHENDER SINGH NEGI,Independent,2714
Uttarakhand - Raipur,HARI SINGH KHORWAL,Bahujan Samaj Party,1680
Uttarakhand - Raipur,TEJENDRA SINGH RAWAT,Independent,1079
Uttarakhand - Raipur,RAKESH BARTHWAL,Independent,392
Uttarakhand - Raipur,NIRMALA BISHT,Independent,331
Uttarakhand - Raipur,ANIL DOBHAL,Uttarakhand Kranti Dal,293
Uttarakhand - Raipur,YAGYA BHUSAN SHARMA,Independent,197
Uttarakhand - Raipur,NAGENDER SINGH,Independent,155
Uttarakhand - Raipur,RUKHSHAR MANSOORI,Independent,126
Uttarakhand - Raipur,RAJENDRA PRASAD GAIROLLA,Rashtriya Uttarakhand Party,123
Uttarakhand - Raipur,USHA NAGAR,Rashtriya Adarsh Party,93
Uttarakhand - Raipur,MOHD. EHSAAN,Independent,81
Uttarakhand - Raipur,RAJKUMAR TYAGI,UTTARAKHAND PARIVARTAN PARTY,77
Uttarakhand - Raipur,MAA PRABHA KIRAN,Sarv Vikas Party,74
Uttarakhand - Raipur,DHAN SINGH,Bhartiya Sarvodaya Party,67
Uttarakhand - Raipur,VIJAYNATH,Independent,42
Uttarakhand - Raipur,None of the Above,None of the Above,548
Uttarakhand - Rajpur Road,KHAJAN DASS,Bharatiya Janata Party,36601
Uttarakhand - Rajpur Road,RAJ KUMAR,Indian National Congress,27969
Uttarakhand - Rajpur Road,JAG RAM SINGH,Bahujan Samaj Party,1959
Uttarakhand - Rajpur Road,AJAY SONKAR,Independent,1484
